,ID,threshold,percentage
0,0,0,0.0
1,1,1,0.4746914413629712
2,2,2,0.6651529074628946
3,3,3,0.7783320848721343
4,4,4,0.8542566720089192
5,5,5,0.9001485088147168
6,6,6,0.9285241446589088
7,7,7,0.9435699167305415
8,8,8,0.9498510556755627
9,9,9,0.9538718991707895
10,10,10,0.9564457616193993
11,11,11,0.9586788377116577
12,12,12,0.9608923158664902
13,13,13,0.9632266479687827
14,14,14,0.965203862100202
15,15,15,0.9665245453278517
16,16,16,0.9675643247857292
17,17,17,0.9685376890112187
18,18,18,0.9694598808445405
19,19,19,0.9701077015538987
20,20,20,0.9707174151627064
21,21,21,0.9710843321022925
22,22,22,0.9714577816876873
23,23,23,0.9718813148909483
24,24,24,0.9722874277053863
25,25,25,0.9725639763779528
26,26,26,0.9729287157689359
27,27,27,0.9732934551599192
28,28,28,0.9735667375095812
29,29,29,0.9738607065709707
30,30,30,0.9742341561563654
31,31,31,0.9747208382691102
32,32,32,0.9752314734164866
33,33,33,0.9757649728241934
34,34,34,0.9763344017838478
35,35,35,0.9769941990105219
36,36,36,0.9776964584349522
37,37,37,0.9787678123475716
38,38,38,0.9798348111629852
39,39,39,0.9807003867326318
40,40,40,0.9814211553201867
41,41,41,0.9822214044317469
42,42,42,0.9831925911086336
43,43,43,0.9842095063061808
44,44,44,0.9851382307853112
45,45,45,0.9859842084175319
46,46,46,0.9868116768866281
47,47,47,0.9878438349243955
48,48,48,0.988910833739809
49,49,49,0.9899114173228346
